intent,question,answer,label
Data Wajib Pasien Baru,Data apa saja yang wajib diisi untuk pasien baru?,"Data wajib meliputi: Nama, NIK/KTP, Tanggal Lahir/Umur, Jenis Kelamin, Golongan Darah, dan Nomor HP.",Pendaftaran Rawat Jalan
Data Wajib Pasien Baru,Form wajib pasien baru itu meliputi apa saja?,"Meliputi Nama, NIK/KTP, Tanggal Lahir/Umur, Jenis Kelamin, Golongan Darah, dan Nomor HP.",Pendaftaran Rawat Jalan
Data Wajib Pasien Baru,Pasien baru harus isi data apa saja?,"Nama, NIK/KTP, Tanggal Lahir/Umur, Jenis Kelamin, Golongan Darah, dan Nomor HP wajib diisi.",Pendaftaran Rawat Jalan
Form Opsional Pasien Baru,Apakah email dan pendidikan pasien wajib diisi?,"Tidak wajib, bersifat opsional.",Pendaftaran Rawat Jalan
Form Opsional Pasien Baru,Bagaimana cara upload foto pasien?,"Bisa diunggah maksimal 1 MB, tidak wajib.",Pendaftaran Rawat Jalan
Jenis Layanan,Apa itu PRB?,PRB (Program Rujuk Balik) untuk pasien penyakit kronis stabil agar obat bisa diambil di faskes tingkat pertama.,Pendaftaran Rawat Jalan
Jenis Layanan,Apa itu Prolanis?,"Program pengelolaan penyakit kronis melalui kegiatan terjadwal: konsultasi medis, edukasi, pemeriksaan kesehatan, dan klub Prolanis.",Pendaftaran Rawat Jalan
Jenis Layanan,Apa itu layanan Non-Kronis?,"Non-Kronis untuk pasien umum tanpa penyakit kronis, seperti flu, diare, infeksi ringan.",Pendaftaran Rawat Jalan
Alamat Pasien,Apakah alamat wajib diisi?,"Tidak wajib, tersedia opsi sama dengan wali.",Pendaftaran Rawat Jalan
Alamat Pasien,Bagaimana jika alamat pasien sama dengan wali?,Gunakan opsi “Sama dengan Wali” agar data otomatis terisi.,Pendaftaran Rawat Jalan
Data Wali,Bagaimana menambahkan data wali pasien?,"Klik “Tambah Wali”, pilih hubungan, isi nama dan nomor kontak, klik update.",Pendaftaran Rawat Jalan
Data Wali,Bisa menambahkan lebih dari satu wali?,"Ya, klik “Tambah Wali” untuk setiap wali baru.",Pendaftaran Rawat Jalan
Data Wali,Bagaimana menghapus data wali?,"Pilih data wali, klik hapus atau update sesuai kebutuhan.",Pendaftaran Rawat Jalan
Detail Pendaftaran,Cara masuk pasien apa saja yang tersedia?,"Dropdown: datang sendiri, kontrol ulang, rujukan, kasus polisi, sewa kamar, dll.",Pendaftaran Rawat Jalan
Detail Pendaftaran,Diagnosa awal harus diisi atau tidak?,Harus diisi sebagai dasar pelayanan medis.,Pendaftaran Rawat Jalan
