intent,question,answer,label,clean_question,tokens
Data Wajib Pasien Baru,Data apa saja yang wajib diisi untuk pasien baru?,"Data wajib meliputi: Nama, NIK/KTP, Tanggal Lahir/Umur, Jenis Kelamin, Golongan Darah, dan Nomor HP.",Pendaftaran Rawat Jalan,data apa saja yang wajib diisi untuk pasien baru,"['data', 'wajib', 'diisi', 'pasien']"
Data Wajib Pasien Baru,Form wajib pasien baru itu meliputi apa saja?,"Meliputi Nama, NIK/KTP, Tanggal Lahir/Umur, Jenis Kelamin, Golongan Darah, dan Nomor HP.",Pendaftaran Rawat Jalan,form wajib pasien baru itu meliputi apa saja,"['form', 'wajib', 'pasien', 'meliputi']"
Data Wajib Pasien Baru,Pasien baru harus isi data apa saja?,"Nama, NIK/KTP, Tanggal Lahir/Umur, Jenis Kelamin, Golongan Darah, dan Nomor HP wajib diisi.",Pendaftaran Rawat Jalan,pasien baru harus isi data apa saja,"['pasien', 'isi', 'data']"
Form Opsional Pasien Baru,Apakah email dan pendidikan pasien wajib diisi?,"Tidak wajib, bersifat opsional.",Pendaftaran Rawat Jalan,apakah email dan pendidikan pasien wajib diisi,"['email', 'pendidikan', 'pasien', 'wajib', 'diisi']"
Form Opsional Pasien Baru,Bagaimana cara upload foto pasien?,"Bisa diunggah maksimal 1 MB, tidak wajib.",Pendaftaran Rawat Jalan,bagaimana cara upload foto pasien,"['upload', 'foto', 'pasien']"
Jenis Layanan,Apa itu PRB?,PRB (Program Rujuk Balik) untuk pasien penyakit kronis stabil agar obat bisa diambil di faskes tingkat pertama.,Pendaftaran Rawat Jalan,apa itu prb,['prb']
Jenis Layanan,Apa itu Prolanis?,"Program pengelolaan penyakit kronis melalui kegiatan terjadwal: konsultasi medis, edukasi, pemeriksaan kesehatan, dan klub Prolanis.",Pendaftaran Rawat Jalan,apa itu prolanis,['prolanis']
Jenis Layanan,Apa itu layanan Non-Kronis?,"Non-Kronis untuk pasien umum tanpa penyakit kronis, seperti flu, diare, infeksi ringan.",Pendaftaran Rawat Jalan,apa itu layanan non kronis,"['layanan', 'non', 'kronis']"
Alamat Pasien,Apakah alamat wajib diisi?,"Tidak wajib, tersedia opsi sama dengan wali.",Pendaftaran Rawat Jalan,apakah alamat wajib diisi,"['alamat', 'wajib', 'diisi']"
Alamat Pasien,Bagaimana jika alamat pasien sama dengan wali?,Gunakan opsi Sama dengan Wali agar data otomatis terisi.,Pendaftaran Rawat Jalan,bagaimana jika alamat pasien sama dengan wali,"['alamat', 'pasien', 'wali']"
