intent,question,answer,label,clean_question,clean_answer
gagal_simpan_data,Kenapa data pasien baru tidak bisa disimpan? (case 1),"Pastikan semua kolom wajib sudah diisi dengan benar (nama, NIK, tanggal lahir, nomor HP).","Pendaftaran Rawat Jalan, Pendaftaran Rawat Darurat, Pendaftaran Rawat Inap",kenapa data pasien baru tidak bisa disimpan case,pastikan semua kolom wajib sudah diisi dengan benar nama nik tanggal lahir nomor hp
gagal_simpan_data,Kenapa data pasien baru tidak bisa disimpan? (case 1),Cek apakah data pasien sudah ada sebelumnya untuk menghindari duplikasi.,"Pendaftaran Rawat Jalan, Pendaftaran Rawat Darurat, Pendaftaran Rawat Inap",kenapa data pasien baru tidak bisa disimpan case,cek apakah data pasien sudah ada sebelumnya untuk menghindari duplikasi
gagal_simpan_data,Kenapa data pasien baru tidak bisa disimpan? (case 1),Coba refresh halaman atau login ulang jika tombol simpan masih tidak berfungsi.,"Pendaftaran Rawat Jalan, Pendaftaran Rawat Darurat, Pendaftaran Rawat Inap",kenapa data pasien baru tidak bisa disimpan case,coba refresh halaman atau login ulang jika tombol simpan masih tidak berfungsi
gagal_simpan_data,"Sistem error saat menyimpan data pasien, apa solusinya? (case 1)","Pastikan semua kolom wajib sudah diisi dengan benar (nama, NIK, tanggal lahir, nomor HP).","Pendaftaran Rawat Jalan, Pendaftaran Rawat Darurat, Pendaftaran Rawat Inap",sistem error saat menyimpan data pasien apa solusinya case,pastikan semua kolom wajib sudah diisi dengan benar nama nik tanggal lahir nomor hp
gagal_simpan_data,"Sistem error saat menyimpan data pasien, apa solusinya? (case 1)",Cek apakah data pasien sudah ada sebelumnya untuk menghindari duplikasi.,"Pendaftaran Rawat Jalan, Pendaftaran Rawat Darurat, Pendaftaran Rawat Inap",sistem error saat menyimpan data pasien apa solusinya case,cek apakah data pasien sudah ada sebelumnya untuk menghindari duplikasi
gagal_simpan_data,"Sistem error saat menyimpan data pasien, apa solusinya? (case 1)",Coba refresh halaman atau login ulang jika tombol simpan masih tidak berfungsi.,"Pendaftaran Rawat Jalan, Pendaftaran Rawat Darurat, Pendaftaran Rawat Inap",sistem error saat menyimpan data pasien apa solusinya case,coba refresh halaman atau login ulang jika tombol simpan masih tidak berfungsi
gagal_simpan_data,Kenapa tombol simpan tidak berfungsi? (case 1),"Pastikan semua kolom wajib sudah diisi dengan benar (nama, NIK, tanggal lahir, nomor HP).","Pendaftaran Rawat Jalan, Pendaftaran Rawat Darurat, Pendaftaran Rawat Inap",kenapa tombol simpan tidak berfungsi case,pastikan semua kolom wajib sudah diisi dengan benar nama nik tanggal lahir nomor hp
gagal_simpan_data,Kenapa tombol simpan tidak berfungsi? (case 1),Cek apakah data pasien sudah ada sebelumnya untuk menghindari duplikasi.,"Pendaftaran Rawat Jalan, Pendaftaran Rawat Darurat, Pendaftaran Rawat Inap",kenapa tombol simpan tidak berfungsi case,cek apakah data pasien sudah ada sebelumnya untuk menghindari duplikasi
gagal_simpan_data,Kenapa tombol simpan tidak berfungsi? (case 1),Coba refresh halaman atau login ulang jika tombol simpan masih tidak berfungsi.,"Pendaftaran Rawat Jalan, Pendaftaran Rawat Darurat, Pendaftaran Rawat Inap",kenapa tombol simpan tidak berfungsi case,coba refresh halaman atau login ulang jika tombol simpan masih tidak berfungsi
cetak_gagal,"Saya tidak bisa mencetak surat kontrol pasien, bagaimana solusinya? (case 1)",Periksa apakah nomor rekam medis dan nomor surat kontrol sudah valid.,"Surat Kontrol Non BPJS, Pendaftaran Rawat Jalan, Update Data Pendaftaran",saya tidak bisa mencetak surat kontrol pasien bagaimana solusinya case,periksa apakah nomor rm dan nomor surat kontrol sudah valid
cetak_gagal,"Saya tidak bisa mencetak surat kontrol pasien, bagaimana solusinya? (case 1)",Pastikan koneksi printer berjalan normal dan driver terpasang dengan benar.,"Surat Kontrol Non BPJS, Pendaftaran Rawat Jalan, Update Data Pendaftaran",saya tidak bisa mencetak surat kontrol pasien bagaimana solusinya case,pastikan koneksi printer berjalan normal dan driver terpasang dengan benar
cetak_gagal,"Saya tidak bisa mencetak surat kontrol pasien, bagaimana solusinya? (case 1)",Coba cetak ulang setelah melakukan refresh data.,"Surat Kontrol Non BPJS, Pendaftaran Rawat Jalan, Update Data Pendaftaran",saya tidak bisa mencetak surat kontrol pasien bagaimana solusinya case,coba cetak ulang setelah melakukan refresh data
cetak_gagal,Kenapa nota registrasi tidak bisa dicetak? (case 1),Periksa apakah nomor rekam medis dan nomor surat kontrol sudah valid.,"Surat Kontrol Non BPJS, Pendaftaran Rawat Jalan, Update Data Pendaftaran",kenapa nota registrasi tidak bisa dicetak case,periksa apakah nomor rm dan nomor surat kontrol sudah valid
cetak_gagal,Kenapa nota registrasi tidak bisa dicetak? (case 1),Pastikan koneksi printer berjalan normal dan driver terpasang dengan benar.,"Surat Kontrol Non BPJS, Pendaftaran Rawat Jalan, Update Data Pendaftaran",kenapa nota registrasi tidak bisa dicetak case,pastikan koneksi printer berjalan normal dan driver terpasang dengan benar
